Store,Type,Size,Distance_km
1,A,151315,18.6
2,A,202307,49.5
3,B,37392,25.2
4,A,205863,12.3
5,B,34875,34.8
6,A,202505,18.6
7,B,70713,49.5
8,A,155078,25.2
9,B,125833,12.3
10,B,126512,34.8
11,A,207499,18.6
12,B,112238,49.5
13,A,219622,25.2
14,A,200898,12.3
15,B,123737,34.8
16,B,57197,18.6
17,B,93188,49.5
18,B,120653,25.2
19,A,203819,12.3
20,A,203742,34.8
21,B,140167,18.6
22,B,119557,49.5
23,B,114533,25.2
24,A,203819,12.3
25,B,128107,34.8
26,A,152513,18.6
27,A,204184,49.5
28,A,206302,25.2
29,B,93638,12.3
30,C,42988,34.8
31,A,203750,18.6
32,A,203007,49.5
33,A,39690,25.2
34,A,158114,12.3
35,B,103681,34.8
36,A,39910,18.6
37,C,39910,49.5
38,C,39690,25.2
39,A,184109,12.3
40,A,155083,34.8
41,A,196321,18.6
42,C,39690,49.5
43,C,41062,25.2
44,C,39910,12.3
45,B,118221,34.8
